studyYear,programDbId,programName,programDescription,studyDbId,studyName,studyDescription,studyDesign,plotWidth,plotLength,plantingDate,harvestDate,locationDbId,locationName,germplasmDbId,germplasmName,observationLevel,observationUnitDbId,observationUnitName,replicate,blockNumber,plotNumber,rowNumber,colNumber,Block,entryType,Grain.test.weight...g.l.CO_321.0001210,Grain.yield...kg.ha.CO_321.0001218,Plant.height...cm.CO_321.0001301
2020,9412,University of Wisconsin,Lucia Gutierrez,9560,OWW_2020_MAD,2020 OWW@Madison(design alpha with additional genotypes replicated),Alpha,1.52,3.2,2019-September-25,2020-July-17,302,"Madison,WI",1456037,WI13OWW-145.06,plot,1457342,OWW_2020_MAD_PLOT13616,1,4,13616,2,5,1,test,77.2,4931.37,110
2020,9412,University of Wisconsin,Lucia Gutierrez,9560,OWW_2020_MAD,2020 OWW@Madison(design alpha with additional genotypes replicated),Alpha,1.52,3.2,2019-September-25,2020-July-17,302,"Madison,WI",1456048,WI13OWW-260.06,plot,1457371,OWW_2020_MAD_PLOT13615,1,3,13615,2,6,2,test,78.3,4960.78,115
2020,9412,University of Wisconsin,Lucia Gutierrez,9560,OWW_2020_MAD,2020 OWW@Madison(design alpha with additional genotypes replicated),Alpha,1.52,3.2,2019-September-25,2020-July-17,302,"Madison,WI",1456031,WI13OWW-47.04,plot,1457418,OWW_2020_MAD_PLOT13614,1,3,13614,2,7,2,test,78.3,5088.24,96
2020,9412,University of Wisconsin,Lucia Gutierrez,9560,OWW_2020_MAD,2020 OWW@Madison(design alpha with additional genotypes replicated),Alpha,1.52,3.2,2019-September-25,2020-July-17,302,"Madison,WI",1456793,ROJO_DE_SABANDO,plot,1457341,OWW_2020_MAD_PLOT13613,1,3,13613,2,8,2,test,78.7,5313.73,120
2020,9412,University of Wisconsin,Lucia Gutierrez,9560,OWW_2020_MAD,2020 OWW@Madison(design alpha with additional genotypes replicated),Alpha,1.52,3.2,2019-September-25,2020-July-17,302,"Madison,WI",1456012,WI13OWW-174.01,plot,1457369,OWW_2020_MAD_PLOT13612,1,3,13612,2,9,2,test,79.8,4558.82,114
2020,9412,University of Wisconsin,Lucia Gutierrez,9560,OWW_2020_MAD,2020 OWW@Madison(design alpha with additional genotypes replicated),Alpha,1.52,3.2,2019-September-25,2020-July-17,302,"Madison,WI",1456013,WI13OWW-140.05,plot,1457446,OWW_2020_MAD_PLOT13611,1,3,13611,2,10,2,test,77.7,3901.96,102
2020,9412,University of Wisconsin,Lucia Gutierrez,9560,OWW_2020_MAD,2020 OWW@Madison(design alpha with additional genotypes replicated),Alpha,1.52,3.2,2019-September-25,2020-July-17,302,"Madison,WI",1456048,WI13OWW-260.06,plot,1457363,OWW_2020_MAD_PLOT13621,1,5,13621,3,1,1,test,76.5,5274.51,105
2020,9412,University of Wisconsin,Lucia Gutierrez,9560,OWW_2020_MAD,2020 OWW@Madison(design alpha with additional genotypes replicated),Alpha,1.52,3.2,2019-September-25,2020-July-17,302,"Madison,WI",1456030,WI13OWW-9.1,plot,1457437,OWW_2020_MAD_PLOT13622,1,5,13622,3,2,1,test,74,5039.22,89
2020,9412,University of Wisconsin,Lucia Gutierrez,9560,OWW_2020_MAD,2020 OWW@Madison(design alpha with additional genotypes replicated),Alpha,1.52,3.2,2019-September-25,2020-July-17,302,"Madison,WI",1382901,Turkey Red,plot,1457406,OWW_2020_MAD_PLOT13623,1,5,13623,3,3,1,test,78,4068.63,95
2020,9412,University of Wisconsin,Lucia Gutierrez,9560,OWW_2020_MAD,2020 OWW@Madison(design alpha with additional genotypes replicated),Alpha,1.52,3.2,2019-September-25,2020-July-17,302,"Madison,WI",1456048,WI13OWW-260.06,plot,1457381,OWW_2020_MAD_PLOT13624,1,5,13624,3,4,1,test,,4245.1,124
2020,9412,University of Wisconsin,Lucia Gutierrez,9560,OWW_2020_MAD,2020 OWW@Madison(design alpha with additional genotypes replicated),Alpha,1.52,3.2,2019-September-25,2020-July-17,302,"Madison,WI",1456058,WI13OWW-8.06,plot,1457440,OWW_2020_MAD_PLOT13625,1,5,13625,3,5,1,test,79.4,5117.65,123
2020,9412,University of Wisconsin,Lucia Gutierrez,9560,OWW_2020_MAD,2020 OWW@Madison(design alpha with additional genotypes replicated),Alpha,1.52,3.2,2019-September-25,2020-July-17,302,"Madison,WI",1456012,WI13OWW-174.01,plot,1457401,OWW_2020_MAD_PLOT13626,1,6,13626,3,6,2,test,80.6,5490.2,90
2020,9412,University of Wisconsin,Lucia Gutierrez,9560,OWW_2020_MAD,2020 OWW@Madison(design alpha with additional genotypes replicated),Alpha,1.52,3.2,2019-September-25,2020-July-17,302,"Madison,WI",227496,ARAPAHOE,plot,1457398,OWW_2020_MAD_PLOT13627,1,6,13627,3,7,2,test,,4352.94,110
2020,9412,University of Wisconsin,Lucia Gutierrez,9560,OWW_2020_MAD,2020 OWW@Madison(design alpha with additional genotypes replicated),Alpha,1.52,3.2,2019-September-25,2020-July-17,302,"Madison,WI",1456060,WI13OWW-212.08,plot,1457427,OWW_2020_MAD_PLOT13628,1,6,13628,3,8,2,test,78,4833.33,116
2020,9412,University of Wisconsin,Lucia Gutierrez,9560,OWW_2020_MAD,2020 OWW@Madison(design alpha with additional genotypes replicated),Alpha,1.52,3.2,2019-September-25,2020-July-17,302,"Madison,WI",1456015,WI13OWW-54.08,plot,1457346,OWW_2020_MAD_PLOT13629,1,6,13629,3,9,2,test,77.9,4392.16,116
2020,9412,University of Wisconsin,Lucia Gutierrez,9560,OWW_2020_MAD,2020 OWW@Madison(design alpha with additional genotypes replicated),Alpha,1.52,3.2,2019-September-25,2020-July-17,302,"Madison,WI",1456031,WI13OWW-47.04,plot,1457445,OWW_2020_MAD_PLOT13630,1,6,13630,3,10,2,test,78.3,4705.88,95
2020,9412,University of Wisconsin,Lucia Gutierrez,9560,OWW_2020_MAD,2020 OWW@Madison(design alpha with additional genotypes replicated),Alpha,1.52,3.2,2019-September-25,2020-July-17,302,"Madison,WI",1456017,WI13OWW-12.05,plot,1457420,OWW_2020_MAD_PLOT13640,1,8,13640,4,1,1,test,76.9,4833.33,103
2020,9412,University of Wisconsin,Lucia Gutierrez,9560,OWW_2020_MAD,2020 OWW@Madison(design alpha with additional genotypes replicated),Alpha,1.52,3.2,2019-September-25,2020-July-17,302,"Madison,WI",1456013,WI13OWW-140.05,plot,1457442,OWW_2020_MAD_PLOT13639,1,8,13639,4,2,1,test,,4019.61,85
2020,9412,University of Wisconsin,Lucia Gutierrez,9560,OWW_2020_MAD,2020 OWW@Madison(design alpha with additional genotypes replicated),Alpha,1.52,3.2,2019-September-25,2020-July-17,302,"Madison,WI",234712,14NORD-01,plot,1457328,OWW_2020_MAD_PLOT13638,1,8,13638,4,3,1,test,,3627.45,97
2020,9412,University of Wisconsin,Lucia Gutierrez,9560,OWW_2020_MAD,2020 OWW@Madison(design alpha with additional genotypes replicated),Alpha,1.52,3.2,2019-September-25,2020-July-17,302,"Madison,WI",1456053,WI13OWW-199.09,plot,1457366,OWW_2020_MAD_PLOT13637,1,8,13637,4,4,1,test,78.6,5549.02,113
2020,9412,University of Wisconsin,Lucia Gutierrez,9560,OWW_2020_MAD,2020 OWW@Madison(design alpha with additional genotypes replicated),Alpha,1.52,3.2,2019-September-25,2020-July-17,302,"Madison,WI",224059,FORWARD,plot,1457361,OWW_2020_MAD_PLOT13636,1,8,13636,4,5,1,test,77.3,6058.82,125
2020,9412,University of Wisconsin,Lucia Gutierrez,9560,OWW_2020_MAD,2020 OWW@Madison(design alpha with additional genotypes replicated),Alpha,1.52,3.2,2019-September-25,2020-July-17,302,"Madison,WI",1055775,WARTHOG,plot,1457352,OWW_2020_MAD_PLOT13635,1,7,13635,4,6,2,test,77.7,5519.61,102
2020,9412,University of Wisconsin,Lucia Gutierrez,9560,OWW_2020_MAD,2020 OWW@Madison(design alpha with additional genotypes replicated),Alpha,1.52,3.2,2019-September-25,2020-July-17,302,"Madison,WI",220023,NE06545,plot,1457409,OWW_2020_MAD_PLOT13634,1,7,13634,4,7,2,test,74.8,4460.78,86
2020,9412,University of Wisconsin,Lucia Gutierrez,9560,OWW_2020_MAD,2020 OWW@Madison(design alpha with additional genotypes replicated),Alpha,1.52,3.2,2019-September-25,2020-July-17,302,"Madison,WI",1456011,Fredrick,plot,1457387,OWW_2020_MAD_PLOT13633,1,7,13633,4,8,2,test,75.7,5539.22,105
2020,9412,University of Wisconsin,Lucia Gutierrez,9560,OWW_2020_MAD,2020 OWW@Madison(design alpha with additional genotypes replicated),Alpha,1.52,3.2,2019-September-25,2020-July-17,302,"Madison,WI",1456051,WI13OWW-202.07,plot,1457350,OWW_2020_MAD_PLOT13632,1,7,13632,4,9,2,test,76.4,4960.78,110
2020,9412,University of Wisconsin,Lucia Gutierrez,9560,OWW_2020_MAD,2020 OWW@Madison(design alpha with additional genotypes replicated),Alpha,1.52,3.2,2019-September-25,2020-July-17,302,"Madison,WI",1456038,WI13OWW-138.04,plot,1457402,OWW_2020_MAD_PLOT13631,1,7,13631,4,10,2,test,74.9,4196.08,100
2020,9412,University of Wisconsin,Lucia Gutierrez,9560,OWW_2020_MAD,2020 OWW@Madison(design alpha with additional genotypes replicated),Alpha,1.52,3.2,2019-September-25,2020-July-17,302,"Madison,WI",1456031,WI13OWW-47.04,plot,1457414,OWW_2020_MAD_PLOT13641,2,9,13641,5,1,3,test,,4225.49,100
2020,9412,University of Wisconsin,Lucia Gutierrez,9560,OWW_2020_MAD,2020 OWW@Madison(design alpha with additional genotypes replicated),Alpha,1.52,3.2,2019-September-25,2020-July-17,302,"Madison,WI",1456796,15NORD-39,plot,1457336,OWW_2020_MAD_PLOT13642,2,9,13642,5,2,3,test,76.1,3872.55,105
2020,9412,University of Wisconsin,Lucia Gutierrez,9560,OWW_2020_MAD,2020 OWW@Madison(design alpha with additional genotypes replicated),Alpha,1.52,3.2,2019-September-25,2020-July-17,302,"Madison,WI",1456011,Fredrick,plot,1457372,OWW_2020_MAD_PLOT13643,2,9,13643,5,3,3,test,74.2,4960.78,97
2020,9412,University of Wisconsin,Lucia Gutierrez,9560,OWW_2020_MAD,2020 OWW@Madison(design alpha with additional genotypes replicated),Alpha,1.52,3.2,2019-September-25,2020-July-17,302,"Madison,WI",224059,FORWARD,plot,1457389,OWW_2020_MAD_PLOT13644,2,9,13644,5,4,3,test,77.1,5784.31,125
2020,9412,University of Wisconsin,Lucia Gutierrez,9560,OWW_2020_MAD,2020 OWW@Madison(design alpha with additional genotypes replicated),Alpha,1.52,3.2,2019-September-25,2020-July-17,302,"Madison,WI",227496,ARAPAHOE,plot,1457333,OWW_2020_MAD_PLOT13645,2,9,13645,5,5,3,test,77.1,4627.45,94
2020,9412,University of Wisconsin,Lucia Gutierrez,9560,OWW_2020_MAD,2020 OWW@Madison(design alpha with additional genotypes replicated),Alpha,1.52,3.2,2019-September-25,2020-July-17,302,"Madison,WI",238239,ARS10-028,plot,1457377,OWW_2020_MAD_PLOT13646,2,10,13646,5,6,4,test,78.5,6490.2,81
2020,9412,University of Wisconsin,Lucia Gutierrez,9560,OWW_2020_MAD,2020 OWW@Madison(design alpha with additional genotypes replicated),Alpha,1.52,3.2,2019-September-25,2020-July-17,302,"Madison,WI",1456017,WI13OWW-12.05,plot,1457379,OWW_2020_MAD_PLOT13647,2,10,13647,5,7,4,test,77.9,5352.94,94
2020,9412,University of Wisconsin,Lucia Gutierrez,9560,OWW_2020_MAD,2020 OWW@Madison(design alpha with additional genotypes replicated),Alpha,1.52,3.2,2019-September-25,2020-July-17,302,"Madison,WI",1456037,WI13OWW-145.06,plot,1457344,OWW_2020_MAD_PLOT13648,2,10,13648,5,8,4,test,77,4637.25,104
2020,9412,University of Wisconsin,Lucia Gutierrez,9560,OWW_2020_MAD,2020 OWW@Madison(design alpha with additional genotypes replicated),Alpha,1.52,3.2,2019-September-25,2020-July-17,302,"Madison,WI",920401,CLARKS_CREAM,plot,1457423,OWW_2020_MAD_PLOT13649,2,10,13649,5,9,4,test,75.8,4686.27,112
2020,9412,University of Wisconsin,Lucia Gutierrez,9560,OWW_2020_MAD,2020 OWW@Madison(design alpha with additional genotypes replicated),Alpha,1.52,3.2,2019-September-25,2020-July-17,302,"Madison,WI",1382901,Turkey Red,plot,1457340,OWW_2020_MAD_PLOT13650,2,10,13650,5,10,4,test,77.7,3862.75,106
2020,9412,University of Wisconsin,Lucia Gutierrez,9560,OWW_2020_MAD,2020 OWW@Madison(design alpha with additional genotypes replicated),Alpha,1.52,3.2,2019-September-25,2020-July-17,302,"Madison,WI",1456012,WI13OWW-174.01,plot,1457339,OWW_2020_MAD_PLOT13660,2,12,13660,6,1,3,test,79.1,4725.49,98
2020,9412,University of Wisconsin,Lucia Gutierrez,9560,OWW_2020_MAD,2020 OWW@Madison(design alpha with additional genotypes replicated),Alpha,1.52,3.2,2019-September-25,2020-July-17,302,"Madison,WI",1456013,WI13OWW-140.05,plot,1457338,OWW_2020_MAD_PLOT13659,2,12,13659,6,2,3,test,,4205.88,100
2020,9412,University of Wisconsin,Lucia Gutierrez,9560,OWW_2020_MAD,2020 OWW@Madison(design alpha with additional genotypes replicated),Alpha,1.52,3.2,2019-September-25,2020-July-17,302,"Madison,WI",1456046,WI13OWW-183.05,plot,1457436,OWW_2020_MAD_PLOT13658,2,12,13658,6,3,3,test,,4470.59,96
2020,9412,University of Wisconsin,Lucia Gutierrez,9560,OWW_2020_MAD,2020 OWW@Madison(design alpha with additional genotypes replicated),Alpha,1.52,3.2,2019-September-25,2020-July-17,302,"Madison,WI",1456031,WI13OWW-47.04,plot,1457405,OWW_2020_MAD_PLOT13657,2,12,13657,6,4,3,test,78.5,5676.47,108
2020,9412,University of Wisconsin,Lucia Gutierrez,9560,OWW_2020_MAD,2020 OWW@Madison(design alpha with additional genotypes replicated),Alpha,1.52,3.2,2019-September-25,2020-July-17,302,"Madison,WI",1055775,WARTHOG,plot,1457408,OWW_2020_MAD_PLOT13656,2,12,13656,6,5,3,test,,3931.37,96
2020,9412,University of Wisconsin,Lucia Gutierrez,9560,OWW_2020_MAD,2020 OWW@Madison(design alpha with additional genotypes replicated),Alpha,1.52,3.2,2019-September-25,2020-July-17,302,"Madison,WI",1456015,WI13OWW-54.08,plot,1457430,OWW_2020_MAD_PLOT13655,2,11,13655,6,6,4,test,78.2,5078.43,114
2020,9412,University of Wisconsin,Lucia Gutierrez,9560,OWW_2020_MAD,2020 OWW@Madison(design alpha with additional genotypes replicated),Alpha,1.52,3.2,2019-September-25,2020-July-17,302,"Madison,WI",1456038,WI13OWW-138.04,plot,1457362,OWW_2020_MAD_PLOT13654,2,11,13654,6,7,4,test,74.3,4127.45,109
2020,9412,University of Wisconsin,Lucia Gutierrez,9560,OWW_2020_MAD,2020 OWW@Madison(design alpha with additional genotypes replicated),Alpha,1.52,3.2,2019-September-25,2020-July-17,302,"Madison,WI",1456013,WI13OWW-140.05,plot,1457396,OWW_2020_MAD_PLOT13653,2,11,13653,6,8,4,test,76.6,4480.39,105
2020,9412,University of Wisconsin,Lucia Gutierrez,9560,OWW_2020_MAD,2020 OWW@Madison(design alpha with additional genotypes replicated),Alpha,1.52,3.2,2019-September-25,2020-July-17,302,"Madison,WI",1456058,WI13OWW-8.06,plot,1457424,OWW_2020_MAD_PLOT13652,2,11,13652,6,9,4,test,77.6,3950.98,112
2020,9412,University of Wisconsin,Lucia Gutierrez,9560,OWW_2020_MAD,2020 OWW@Madison(design alpha with additional genotypes replicated),Alpha,1.52,3.2,2019-September-25,2020-July-17,302,"Madison,WI",1456051,WI13OWW-202.07,plot,1457383,OWW_2020_MAD_PLOT13651,2,11,13651,6,10,4,test,75.5,4803.92,115
2020,9412,University of Wisconsin,Lucia Gutierrez,9560,OWW_2020_MAD,2020 OWW@Madison(design alpha with additional genotypes replicated),Alpha,1.52,3.2,2019-September-25,2020-July-17,302,"Madison,WI",1456030,WI13OWW-9.1,plot,1457384,OWW_2020_MAD_PLOT13661,2,13,13661,7,1,3,test,74.2,4372.54902,102
2020,9412,University of Wisconsin,Lucia Gutierrez,9560,OWW_2020_MAD,2020 OWW@Madison(design alpha with additional genotypes replicated),Alpha,1.52,3.2,2019-September-25,2020-July-17,302,"Madison,WI",1456013,WI13OWW-140.05,plot,1457426,OWW_2020_MAD_PLOT13662,2,13,13662,7,2,3,test,,3745.098039,87
2020,9412,University of Wisconsin,Lucia Gutierrez,9560,OWW_2020_MAD,2020 OWW@Madison(design alpha with additional genotypes replicated),Alpha,1.52,3.2,2019-September-25,2020-July-17,302,"Madison,WI",1456033,WI13OWW-7.02,plot,1457394,OWW_2020_MAD_PLOT13663,2,13,13663,7,3,3,test,75.8,3911.764706,94
2020,9412,University of Wisconsin,Lucia Gutierrez,9560,OWW_2020_MAD,2020 OWW@Madison(design alpha with additional genotypes replicated),Alpha,1.52,3.2,2019-September-25,2020-July-17,302,"Madison,WI",1456060,WI13OWW-212.08,plot,1457359,OWW_2020_MAD_PLOT13664,2,13,13664,7,4,3,test,78.2,5000,117
2020,9412,University of Wisconsin,Lucia Gutierrez,9560,OWW_2020_MAD,2020 OWW@Madison(design alpha with additional genotypes replicated),Alpha,1.52,3.2,2019-September-25,2020-July-17,302,"Madison,WI",1456048,WI13OWW-260.06,plot,1457429,OWW_2020_MAD_PLOT13665,2,13,13665,7,5,3,test,77.7,4333.333333,110
2020,9412,University of Wisconsin,Lucia Gutierrez,9560,OWW_2020_MAD,2020 OWW@Madison(design alpha with additional genotypes replicated),Alpha,1.52,3.2,2019-September-25,2020-July-17,302,"Madison,WI",1456031,WI13OWW-47.04,plot,1457410,OWW_2020_MAD_PLOT13666,2,14,13666,7,6,4,test,78.5,4931.372549,97
2020,9412,University of Wisconsin,Lucia Gutierrez,9560,OWW_2020_MAD,2020 OWW@Madison(design alpha with additional genotypes replicated),Alpha,1.52,3.2,2019-September-25,2020-July-17,302,"Madison,WI",1456012,WI13OWW-174.01,plot,1457407,OWW_2020_MAD_PLOT13667,2,14,13667,7,7,4,test,79.2,4637.254902,114
2020,9412,University of Wisconsin,Lucia Gutierrez,9560,OWW_2020_MAD,2020 OWW@Madison(design alpha with additional genotypes replicated),Alpha,1.52,3.2,2019-September-25,2020-July-17,302,"Madison,WI",1456048,WI13OWW-260.06,plot,1457435,OWW_2020_MAD_PLOT13668,2,14,13668,7,8,4,test,78,4843.137255,113
2020,9412,University of Wisconsin,Lucia Gutierrez,9560,OWW_2020_MAD,2020 OWW@Madison(design alpha with additional genotypes replicated),Alpha,1.52,3.2,2019-September-25,2020-July-17,302,"Madison,WI",1456051,WI13OWW-202.07,plot,1457337,OWW_2020_MAD_PLOT13669,2,14,13669,7,9,4,test,76.1,4921.568627,110
2020,9412,University of Wisconsin,Lucia Gutierrez,9560,OWW_2020_MAD,2020 OWW@Madison(design alpha with additional genotypes replicated),Alpha,1.52,3.2,2019-September-25,2020-July-17,302,"Madison,WI",1456053,WI13OWW-199.09,plot,1457367,OWW_2020_MAD_PLOT13670,2,14,13670,7,10,4,test,77.8,5078.431373,114
2020,9412,University of Wisconsin,Lucia Gutierrez,9560,OWW_2020_MAD,2020 OWW@Madison(design alpha with additional genotypes replicated),Alpha,1.52,3.2,2019-September-25,2020-July-17,302,"Madison,WI",1456793,ROJO_DE_SABANDO,plot,1457390,OWW_2020_MAD_PLOT13680,2,16,13680,8,1,3,test,78.2,5000,82
2020,9412,University of Wisconsin,Lucia Gutierrez,9560,OWW_2020_MAD,2020 OWW@Madison(design alpha with additional genotypes replicated),Alpha,1.52,3.2,2019-September-25,2020-July-17,302,"Madison,WI",227974,NI12702W,plot,1457370,OWW_2020_MAD_PLOT13679,2,16,13679,8,2,3,test,79,5049.019608,103
2020,9412,University of Wisconsin,Lucia Gutierrez,9560,OWW_2020_MAD,2020 OWW@Madison(design alpha with additional genotypes replicated),Alpha,1.52,3.2,2019-September-25,2020-July-17,302,"Madison,WI",1456048,WI13OWW-260.06,plot,1457404,OWW_2020_MAD_PLOT13678,2,16,13678,8,3,3,test,75.2,5176.470588,98
2020,9412,University of Wisconsin,Lucia Gutierrez,9560,OWW_2020_MAD,2020 OWW@Madison(design alpha with additional genotypes replicated),Alpha,1.52,3.2,2019-September-25,2020-July-17,302,"Madison,WI",1456795,GUA,plot,1457438,OWW_2020_MAD_PLOT13677,2,16,13677,8,4,3,test,74.6,5676.470588,126
2020,9412,University of Wisconsin,Lucia Gutierrez,9560,OWW_2020_MAD,2020 OWW@Madison(design alpha with additional genotypes replicated),Alpha,1.52,3.2,2019-September-25,2020-July-17,302,"Madison,WI",1456051,WI13OWW-202.07,plot,1457434,OWW_2020_MAD_PLOT13676,2,16,13676,8,5,3,test,76.3,4823.529412,119
2020,9412,University of Wisconsin,Lucia Gutierrez,9560,OWW_2020_MAD,2020 OWW@Madison(design alpha with additional genotypes replicated),Alpha,1.52,3.2,2019-September-25,2020-July-17,302,"Madison,WI",1456023,WI13OWW-11.03,plot,1457392,OWW_2020_MAD_PLOT13675,2,15,13675,8,6,4,test,77.8,4950.980392,136
2020,9412,University of Wisconsin,Lucia Gutierrez,9560,OWW_2020_MAD,2020 OWW@Madison(design alpha with additional genotypes replicated),Alpha,1.52,3.2,2019-September-25,2020-July-17,302,"Madison,WI",220023,NE06545,plot,1457331,OWW_2020_MAD_PLOT13674,2,15,13674,8,7,4,test,,2647.058824,75
2020,9412,University of Wisconsin,Lucia Gutierrez,9560,OWW_2020_MAD,2020 OWW@Madison(design alpha with additional genotypes replicated),Alpha,1.52,3.2,2019-September-25,2020-July-17,302,"Madison,WI",1456012,WI13OWW-174.01,plot,1457425,OWW_2020_MAD_PLOT13673,2,15,13673,8,8,4,test,79.6,4794.117647,115
2020,9412,University of Wisconsin,Lucia Gutierrez,9560,OWW_2020_MAD,2020 OWW@Madison(design alpha with additional genotypes replicated),Alpha,1.52,3.2,2019-September-25,2020-July-17,302,"Madison,WI",1456792,REDEEMER,plot,1457397,OWW_2020_MAD_PLOT13672,2,15,13672,8,9,4,test,77.8,4568.627451,94
2020,9412,University of Wisconsin,Lucia Gutierrez,9560,OWW_2020_MAD,2020 OWW@Madison(design alpha with additional genotypes replicated),Alpha,1.52,3.2,2019-September-25,2020-July-17,302,"Madison,WI",234712,14NORD-01,plot,1457356,OWW_2020_MAD_PLOT13671,2,15,13671,8,10,4,test,78.7,4823.529412,93
2020,9412,University of Wisconsin,Lucia Gutierrez,9560,OWW_2020_MAD,2020 OWW@Madison(design alpha with additional genotypes replicated),Alpha,1.52,3.2,2019-September-25,2020-July-17,302,"Madison,WI",227496,ARAPAHOE,plot,1457432,OWW_2020_MAD_PLOT13681,3,17,13681,9,1,5,test,77.7,5490.196078,116
